PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
104,0,3,0,33.0,0,0,8.6542
105,0,3,0,37.0,2,0,7.925
106,0,3,0,28.0,0,0,7.8958
107,1,3,1,21.0,0,0,7.65
109,0,3,0,38.0,0,0,7.8958
111,0,1,0,47.0,0,0,52.0
112,0,3,1,14.5,1,0,14.4542
113,0,3,0,22.0,0,0,8.05
114,0,3,1,20.0,1,0,9.825
115,0,3,1,17.0,0,0,14.4583
116,0,3,0,21.0,0,0,7.925
117,0,3,0,70.5,0,0,7.75
118,0,2,0,29.0,1,0,21.0
119,0,1,0,24.0,0,1,247.5208
120,0,3,1,2.0,4,2,31.275
121,0,2,0,21.0,2,0,73.5
123,0,2,0,32.5,1,0,30.0708
124,1,2,1,32.5,0,0,13.0
125,0,1,0,54.0,0,1,77.2875
126,1,3,0,12.0,1,0,11.2417
128,1,3,0,24.0,0,0,7.1417
130,0,3,0,45.0,0,0,6.975
131,0,3,0,33.0,0,0,7.8958
132,0,3,0,20.0,0,0,7.05
133,0,3,1,47.0,1,0,14.5
134,1,2,1,29.0,1,0,26.0
135,0,2,0,25.0,0,0,13.0
136,0,2,0,23.0,0,0,15.0458
137,1,1,1,19.0,0,2,26.2833
138,0,1,0,37.0,1,0,53.1
139,0,3,0,16.0,0,0,9.2167
140,0,1,0,24.0,0,0,79.2
142,1,3,1,22.0,0,0,7.75
143,1,3,1,24.0,1,0,15.85
144,0,3,0,19.0,0,0,6.75
145,0,2,0,18.0,0,0,11.5
146,0,2,0,19.0,1,1,36.75
147,1,3,0,27.0,0,0,7.7958
148,0,3,1,9.0,2,2,34.375
149,0,2,0,36.5,0,2,26.0
150,0,2,0,42.0,0,0,13.0
151,0,2,0,51.0,0,0,12.525
152,1,1,1,22.0,1,0,66.6
153,0,3,0,55.5,0,0,8.05
154,0,3,0,40.5,0,2,14.5
156,0,1,0,51.0,0,1,61.3792
157,1,3,1,16.0,0,0,7.7333
158,0,3,0,30.0,0,0,8.05
161,0,3,0,44.0,0,1,16.1
162,1,2,1,40.0,0,0,15.75
163,0,3,0,26.0,0,0,7.775
164,0,3,0,17.0,0,0,8.6625
165,0,3,0,1.0,4,1,39.6875
166,1,3,0,9.0,0,2,20.525
168,0,3,1,45.0,1,4,27.9
170,0,3,0,28.0,0,0,56.4958
171,0,1,0,61.0,0,0,33.5
172,0,3,0,4.0,4,1,29.125
173,1,3,1,1.0,1,1,11.1333
174,0,3,0,21.0,0,0,7.925
175,0,1,0,56.0,0,0,30.6958
176,0,3,0,18.0,1,1,7.8542
178,0,1,1,50.0,0,0,28.7125
179,0,2,0,30.0,0,0,13.0
180,0,3,0,36.0,0,0,0.0
183,0,3,0,9.0,4,2,31.3875
184,1,2,0,1.0,2,1,39.0
185,1,3,1,4.0,0,2,22.025
188,1,1,0,45.0,0,0,26.55
189,0,3,0,40.0,1,1,15.5
190,0,3,0,36.0,0,0,7.8958
191,1,2,1,32.0,0,0,13.0
192,0,2,0,19.0,0,0,13.0
193,1,3,1,19.0,1,0,7.8542
194,1,2,0,3.0,1,1,26.0
195,1,1,1,44.0,0,0,27.7208
196,1,1,1,58.0,0,0,146.5208
198,0,3,0,42.0,0,1,8.4042
200,0,2,1,24.0,0,0,13.0
201,0,3,0,28.0,0,0,9.5
203,0,3,0,34.0,0,0,6.4958
204,0,3,0,45.5,0,0,7.225
205,1,3,0,18.0,0,0,8.05
206,0,3,1,2.0,0,1,10.4625
207,0,3,0,32.0,1,0,15.85
208,1,3,0,26.0,0,0,18.7875
209,1,3,1,16.0,0,0,7.75
210,1,1,0,40.0,0,0,31.0
211,0,3,0,24.0,0,0,7.05
212,1,2,1,35.0,0,0,21.0
213,0,3,0,22.0,0,0,7.25
214,0,2,0,30.0,0,0,13.0
216,1,1,1,31.0,1,0,113.275
217,1,3,1,27.0,0,0,7.925
218,0,2,0,42.0,1,0,27.0
219,1,1,1,32.0,0,0,76.2917
220,0,2,0,30.0,0,0,10.5
221,1,3,0,16.0,0,0,8.05
222,0,2,0,27.0,0,0,13.0
223,0,3,0,51.0,0,0,8.05
225,1,1,0,38.0,1,0,90.0
226,0,3,0,22.0,0,0,9.35
227,1,2,0,19.0,0,0,10.5
228,0,3,0,20.5,0,0,7.25
229,0,2,0,18.0,0,0,13.0
231,1,1,1,35.0,1,0,83.475
232,0,3,0,29.0,0,0,7.775
233,0,2,0,59.0,0,0,13.5
234,1,3,1,5.0,4,2,31.3875
235,0,2,0,24.0,0,0,10.5
237,0,2,0,44.0,1,0,26.0
238,1,2,1,8.0,0,2,26.25
239,0,2,0,19.0,0,0,10.5
240,0,2,0,33.0,0,0,12.275
243,0,2,0,29.0,0,0,10.5
244,0,3,0,22.0,0,0,7.125
245,0,3,0,30.0,0,0,7.225
246,0,1,0,44.0,2,0,90.0
247,0,3,1,25.0,0,0,7.775
248,1,2,1,24.0,0,2,14.5
249,1,1,0,37.0,1,1,52.5542
250,0,2,0,54.0,1,0,26.0
252,0,3,1,29.0,1,1,10.4625
253,0,1,0,62.0,0,0,26.55
254,0,3,0,30.0,1,0,16.1
255,0,3,1,41.0,0,2,20.2125
256,1,3,1,29.0,0,2,15.2458
258,1,1,1,30.0,0,0,86.5
259,1,1,1,35.0,0,0,512.3292
260,1,2,1,50.0,0,1,26.0
262,1,3,0,3.0,4,2,31.3875
263,0,1,0,52.0,1,1,79.65
264,0,1,0,40.0,0,0,0.0
266,0,2,0,36.0,0,0,10.5
267,0,3,0,16.0,4,1,39.6875
268,1,3,0,25.0,1,0,7.775
269,1,1,1,58.0,0,1,153.4625
270,1,1,1,35.0,0,0,135.6333
272,1,3,0,25.0,0,0,0.0
273,1,2,1,41.0,0,1,19.5
274,0,1,0,37.0,0,1,29.7
276,1,1,1,63.0,1,0,77.9583
277,0,3,1,45.0,0,0,7.75
279,0,3,0,7.0,4,1,29.125
280,1,3,1,35.0,1,1,20.25
281,0,3,0,65.0,0,0,7.75
282,0,3,0,28.0,0,0,7.8542
283,0,3,0,16.0,0,0,9.5
284,1,3,0,19.0,0,0,8.05
286,0,3,0,33.0,0,0,8.6625
287,1,3,0,30.0,0,0,9.5
288,0,3,0,22.0,0,0,7.8958
289,1,2,0,42.0,0,0,13.0
290,1,3,1,22.0,0,0,7.75
291,1,1,1,26.0,0,0,78.85
292,1,1,1,19.0,1,0,91.0792
293,0,2,0,36.0,0,0,12.875
294,0,3,1,24.0,0,0,8.85
295,0,3,0,24.0,0,0,7.8958
297,0,3,0,23.5,0,0,7.2292
298,0,1,1,2.0,1,2,151.55
300,1,1,1,50.0,0,1,247.5208
303,0,3,0,19.0,0,0,0.0
306,1,1,0,0.92,1,2,151.55
308,1,1,1,17.0,1,0,108.9
309,0,2,0,30.0,1,0,24.0
310,1,1,1,30.0,0,0,56.9292
311,1,1,1,24.0,0,0,83.1583
312,1,1,1,18.0,2,2,262.375
313,0,2,1,26.0,1,1,26.0
314,0,3,0,28.0,0,0,7.8958
315,0,2,0,43.0,1,1,26.25
316,1,3,1,26.0,0,0,7.8542
317,1,2,1,24.0,1,0,26.0
318,0,2,0,54.0,0,0,14.0
319,1,1,1,31.0,0,2,164.8667
320,1,1,1,40.0,1,1,134.5
321,0,3,0,22.0,0,0,7.25
322,0,3,0,27.0,0,0,7.8958
323,1,2,1,30.0,0,0,12.35
324,1,2,1,22.0,1,1,29.0
326,1,1,1,36.0,0,0,135.6333
327,0,3,0,61.0,0,0,6.2375
328,1,2,1,36.0,0,0,13.0
329,1,3,1,31.0,1,1,20.525
330,1,1,1,16.0,0,1,57.9792
332,0,1,0,45.5,0,0,28.5
333,0,1,0,38.0,0,1,153.4625
334,0,3,0,16.0,2,0,18.0
337,0,1,0,29.0,1,0,66.6
338,1,1,1,41.0,0,0,134.5
339,1,3,0,45.0,0,0,8.05
340,0,1,0,45.0,0,0,35.5
341,1,2,0,2.0,1,1,26.0
342,1,1,1,24.0,3,2,263.0
343,0,2,0,28.0,0,0,13.0
344,0,2,0,25.0,0,0,13.0
345,0,2,0,36.0,0,0,13.0
346,1,2,1,24.0,0,0,13.0
347,1,2,1,40.0,0,0,13.0
349,1,3,0,3.0,1,1,15.9
350,0,3,0,42.0,0,0,8.6625
351,0,3,0,23.0,0,0,9.225
353,0,3,0,15.0,1,1,7.2292
354,0,3,0,25.0,1,0,17.8
356,0,3,0,28.0,0,0,9.5
357,1,1,1,22.0,0,1,55.0
358,0,2,1,38.0,0,0,13.0
361,0,3,0,40.0,1,4,27.9
362,0,2,0,29.0,1,0,27.7208
363,0,3,1,45.0,0,1,14.4542
364,0,3,0,35.0,0,0,7.05
366,0,3,0,30.0,0,0,7.25
367,1,1,1,60.0,1,0,75.25
370,1,1,1,24.0,0,0,69.3
371,1,1,0,25.0,1,0,55.4417
372,0,3,0,18.0,1,0,6.4958
373,0,3,0,19.0,0,0,8.05
374,0,1,0,22.0,0,0,135.6333
375,0,3,1,3.0,3,1,21.075
377,1,3,1,22.0,0,0,7.25
378,0,1,0,27.0,0,2,211.5
379,0,3,0,20.0,0,0,4.0125
380,0,3,0,19.0,0,0,7.775
381,1,1,1,42.0,0,0,227.525
382,1,3,1,1.0,0,2,15.7417
383,0,3,0,32.0,0,0,7.925
384,1,1,1,35.0,1,0,52.0
386,0,2,0,18.0,0,0,73.5
387,0,3,0,1.0,5,2,46.9
388,1,2,1,36.0,0,0,13.0
390,1,2,1,17.0,0,0,12.0
391,1,1,0,36.0,1,2,120.0
392,1,3,0,21.0,0,0,7.7958
393,0,3,0,28.0,2,0,7.925
394,1,1,1,23.0,1,0,113.275
395,1,3,1,24.0,0,2,16.7
396,0,3,0,22.0,0,0,7.7958
397,0,3,1,31.0,0,0,7.8542
398,0,2,0,46.0,0,0,26.0
399,0,2,0,23.0,0,0,10.5
400,1,2,1,28.0,0,0,12.65
401,1,3,0,39.0,0,0,7.925
402,0,3,0,26.0,0,0,8.05
403,0,3,1,21.0,1,0,9.825
404,0,3,0,28.0,1,0,15.85
405,0,3,1,20.0,0,0,8.6625
406,0,2,0,34.0,1,0,21.0
407,0,3,0,51.0,0,0,7.75
408,1,2,0,3.0,1,1,18.75
409,0,3,0,21.0,0,0,7.775
413,1,1,1,33.0,1,0,90.0
415,1,3,0,44.0,0,0,7.925
417,1,2,1,34.0,1,1,32.5
418,1,2,1,18.0,0,2,13.0
419,0,2,0,30.0,0,0,13.0
420,0,3,1,10.0,0,2,24.15
422,0,3,0,21.0,0,0,7.7333
423,0,3,0,29.0,0,0,7.875
424,0,3,1,28.0,1,1,14.4
425,0,3,0,18.0,1,1,20.2125
427,1,2,1,28.0,1,0,26.0
428,1,2,1,19.0,0,0,26.0
430,1,3,0,32.0,0,0,8.05
431,1,1,0,28.0,0,0,26.55
433,1,2,1,42.0,1,0,26.0
434,0,3,0,17.0,0,0,7.125
435,0,1,0,50.0,1,0,55.9
436,1,1,1,14.0,1,2,120.0
437,0,3,1,21.0,2,2,34.375
438,1,2,1,24.0,2,3,18.75
439,0,1,0,64.0,1,4,263.0
440,0,2,0,31.0,0,0,10.5
441,1,2,1,45.0,1,1,26.25
442,0,3,0,20.0,0,0,9.5
443,0,3,0,25.0,1,0,7.775
444,1,2,1,28.0,0,0,13.0
446,1,1,0,4.0,0,2,81.8583
447,1,2,1,13.0,0,1,19.5
448,1,1,0,34.0,0,0,26.55
449,1,3,1,5.0,2,1,19.2583
450,1,1,0,52.0,0,0,30.5
451,0,2,0,36.0,1,2,27.75
453,0,1,0,30.0,0,0,27.75
454,1,1,0,49.0,1,0,89.1042
456,1,3,0,29.0,0,0,7.8958
457,0,1,0,65.0,0,0,26.55
459,1,2,1,50.0,0,0,10.5
461,1,1,0,48.0,0,0,26.55
462,0,3,0,34.0,0,0,8.05
463,0,1,0,47.0,0,0,38.5
464,0,2,0,48.0,0,0,13.0
466,0,3,0,38.0,0,0,7.05
468,0,1,0,56.0,0,0,26.55
470,1,3,1,0.75,2,1,19.2583
472,0,3,0,38.0,0,0,8.6625
473,1,2,1,33.0,1,2,27.75
474,1,2,1,23.0,0,0,13.7917
475,0,3,1,22.0,0,0,9.8375
477,0,2,0,34.0,1,0,21.0
478,0,3,0,29.0,1,0,7.0458
479,0,3,0,22.0,0,0,7.5208
480,1,3,1,2.0,0,1,12.2875
481,0,3,0,9.0,5,2,46.9
483,0,3,0,50.0,0,0,8.05
484,1,3,1,63.0,0,0,9.5875
485,1,1,0,25.0,1,0,91.0792
487,1,1,1,35.0,1,0,90.0
488,0,1,0,58.0,0,0,29.7
489,0,3,0,30.0,0,0,8.05
490,1,3,0,9.0,1,1,15.9
492,0,3,0,21.0,0,0,7.25
493,0,1,0,55.0,0,0,30.5
494,0,1,0,71.0,0,0,49.5042
495,0,3,0,21.0,0,0,8.05
497,1,1,1,54.0,1,0,78.2667
499,0,1,1,25.0,1,2,151.55
500,0,3,0,24.0,0,0,7.7958
501,0,3,0,17.0,0,0,8.6625
502,0,3,1,21.0,0,0,7.75
504,0,3,1,37.0,0,0,9.5875
505,1,1,1,16.0,0,0,86.5
506,0,1,0,18.0,1,0,108.9
507,1,2,1,33.0,0,2,26.0
509,0,3,0,28.0,0,0,22.525
510,1,3,0,26.0,0,0,56.4958
511,1,3,0,29.0,0,0,7.75
513,1,1,0,36.0,0,0,26.2875
514,1,1,1,54.0,1,0,59.4
515,0,3,0,24.0,0,0,7.4958
516,0,1,0,47.0,0,0,34.0208
517,1,2,1,34.0,0,0,10.5
519,1,2,1,36.0,1,0,26.0
520,0,3,0,32.0,0,0,7.8958
521,1,1,1,30.0,0,0,93.5
522,0,3,0,22.0,0,0,7.8958
524,1,1,1,44.0,0,1,57.9792
526,0,3,0,40.5,0,0,7.75
527,1,2,1,50.0,0,0,10.5
529,0,3,0,39.0,0,0,7.925
530,0,2,0,23.0,2,1,11.5
531,1,2,1,2.0,1,1,26.0
533,0,3,0,17.0,1,1,7.2292
535,0,3,1,30.0,0,0,8.6625
536,1,2,1,7.0,0,2,26.25
537,0,1,0,45.0,0,0,26.55
538,1,1,1,30.0,0,0,106.425
540,1,1,1,22.0,0,2,49.5
541,1,1,1,36.0,0,2,71.0
542,0,3,1,9.0,4,2,31.275
543,0,3,1,11.0,4,2,31.275
544,1,2,0,32.0,1,0,26.0
545,0,1,0,50.0,1,0,106.425
546,0,1,0,64.0,0,0,26.0
547,1,2,1,19.0,1,0,26.0
549,0,3,0,33.0,1,1,20.525
550,1,2,0,8.0,1,1,36.75
551,1,1,0,17.0,0,2,110.8833
552,0,2,0,27.0,0,0,26.0
554,1,3,0,22.0,0,0,7.225
555,1,3,1,22.0,0,0,7.775
556,0,1,0,62.0,0,0,26.55
557,1,1,1,48.0,1,0,39.6
559,1,1,1,39.0,1,1,79.65
560,1,3,1,36.0,1,0,17.4
562,0,3,0,40.0,0,0,7.8958
563,0,2,0,28.0,0,0,13.5
566,0,3,0,24.0,2,0,24.15
567,0,3,0,19.0,0,0,7.8958
568,0,3,1,29.0,0,4,21.075
570,1,3,0,32.0,0,0,7.8542
571,1,2,0,62.0,0,0,10.5
572,1,1,1,53.0,2,0,51.4792
573,1,1,0,36.0,0,0,26.3875
575,0,3,0,16.0,0,0,8.05
576,0,3,0,19.0,0,0,14.5
577,1,2,1,34.0,0,0,13.0
578,1,1,1,39.0,1,0,55.9
580,1,3,0,32.0,0,0,7.925
581,1,2,1,25.0,1,1,30.0
582,1,1,1,39.0,1,1,110.8833
583,0,2,0,54.0,0,0,26.0
584,0,1,0,36.0,0,0,40.125
586,1,1,1,18.0,0,2,79.65
587,0,2,0,47.0,0,0,15.0
588,1,1,0,60.0,1,1,79.2
589,0,3,0,22.0,0,0,8.05
591,0,3,0,35.0,0,0,7.125
592,1,1,1,52.0,1,0,78.2667
593,0,3,0,47.0,0,0,7.25
595,0,2,0,37.0,1,0,26.0
596,0,3,0,36.0,1,1,24.15
598,0,3,0,49.0,0,0,0.0
600,1,1,0,49.0,1,0,56.9292
601,1,2,1,24.0,2,1,27.0
604,0,3,0,44.0,0,0,8.05
605,1,1,0,35.0,0,0,26.55
606,0,3,0,36.0,1,0,15.55
607,0,3,0,30.0,0,0,7.8958
608,1,1,0,27.0,0,0,30.5
609,1,2,1,22.0,1,2,41.5792
610,1,1,1,40.0,0,0,153.4625
611,0,3,1,39.0,1,5,31.275
615,0,3,0,35.0,0,0,8.05
616,1,2,1,24.0,1,2,65.0
617,0,3,0,34.0,1,1,14.4
618,0,3,1,26.0,1,0,16.1
619,1,2,1,4.0,2,1,39.0
620,0,2,0,26.0,0,0,10.5
621,0,3,0,27.0,1,0,14.4542
622,1,1,0,42.0,1,0,52.5542
623,1,3,0,20.0,1,1,15.7417
624,0,3,0,21.0,0,0,7.8542
625,0,3,0,21.0,0,0,16.1
626,0,1,0,61.0,0,0,32.3208
627,0,2,0,57.0,0,0,12.35
628,1,1,1,21.0,0,0,77.9583
629,0,3,0,26.0,0,0,7.8958
631,1,1,0,80.0,0,0,30.0
632,0,3,0,51.0,0,0,7.0542
633,1,1,0,32.0,0,0,30.5
635,0,3,1,9.0,3,2,27.9
636,1,2,1,28.0,0,0,13.0
637,0,3,0,32.0,0,0,7.925
638,0,2,0,31.0,1,1,26.25
639,0,3,1,41.0,0,5,39.6875
641,0,3,0,20.0,0,0,7.8542
642,1,1,1,24.0,0,0,69.3
643,0,3,1,2.0,3,2,27.9
645,1,3,1,0.75,2,1,19.2583
646,1,1,0,48.0,1,0,76.7292
647,0,3,0,19.0,0,0,7.8958
648,1,1,0,56.0,0,0,35.5
650,1,3,1,23.0,0,0,7.55
652,1,2,1,18.0,0,1,23.0
653,0,3,0,21.0,0,0,8.4333
655,0,3,1,18.0,0,0,6.75
656,0,2,0,24.0,2,0,73.5
658,0,3,1,32.0,1,1,15.5
659,0,2,0,23.0,0,0,13.0
660,0,1,0,58.0,0,2,113.275
661,1,1,0,50.0,2,0,133.65
662,0,3,0,40.0,0,0,7.225
663,0,1,0,47.0,0,0,25.5875
664,0,3,0,36.0,0,0,7.4958
665,1,3,0,20.0,1,0,7.925
666,0,2,0,32.0,2,0,73.5
667,0,2,0,25.0,0,0,13.0
669,0,3,0,43.0,0,0,8.05
671,1,2,1,40.0,1,1,39.0
672,0,1,0,31.0,1,0,52.0
673,0,2,0,70.0,0,0,10.5
674,1,2,0,31.0,0,0,13.0
676,0,3,0,18.0,0,0,7.775
677,0,3,0,24.5,0,0,8.05
678,1,3,1,18.0,0,0,9.8417
679,0,3,1,43.0,1,6,46.9
680,1,1,0,36.0,0,1,512.3292
682,1,1,0,27.0,0,0,76.7292
683,0,3,0,20.0,0,0,9.225
684,0,3,0,14.0,5,2,46.9
685,0,2,0,60.0,1,1,39.0
686,0,2,0,25.0,1,2,41.5792
687,0,3,0,14.0,4,1,39.6875
688,0,3,0,19.0,0,0,10.1708
689,0,3,0,18.0,0,0,7.7958
690,1,1,1,15.0,0,1,211.3375
691,1,1,0,31.0,1,0,57.0
692,1,3,1,4.0,0,1,13.4167
694,0,3,0,25.0,0,0,7.225
695,0,1,0,60.0,0,0,26.55
696,0,2,0,52.0,0,0,13.5
697,0,3,0,44.0,0,0,8.05
699,0,1,0,49.0,1,1,110.8833
700,0,3,0,42.0,0,0,7.65
701,1,1,1,18.0,1,0,227.525
702,1,1,0,35.0,0,0,26.2875
703,0,3,1,18.0,0,1,14.4542
704,0,3,0,25.0,0,0,7.7417
705,0,3,0,26.0,1,0,7.8542
706,0,2,0,39.0,0,0,26.0
707,1,2,1,45.0,0,0,13.5
708,1,1,0,42.0,0,0,26.2875
709,1,1,1,22.0,0,0,151.55
711,1,1,1,24.0,0,0,49.5042
713,1,1,0,48.0,1,0,52.0
714,0,3,0,29.0,0,0,9.4833
715,0,2,0,52.0,0,0,13.0
716,0,3,0,19.0,0,0,7.65
717,1,1,1,38.0,0,0,227.525
718,1,2,1,27.0,0,0,10.5
720,0,3,0,33.0,0,0,7.775
721,1,2,1,6.0,0,1,33.0
722,0,3,0,17.0,1,0,7.0542
723,0,2,0,34.0,0,0,13.0
724,0,2,0,50.0,0,0,13.0
725,1,1,0,27.0,1,0,53.1
726,0,3,0,20.0,0,0,8.6625
727,1,2,1,30.0,3,0,21.0
729,0,2,0,25.0,1,0,26.0
730,0,3,1,25.0,1,0,7.925
731,1,1,1,29.0,0,0,211.3375
732,0,3,0,11.0,0,0,18.7875
734,0,2,0,23.0,0,0,13.0
735,0,2,0,23.0,0,0,13.0
736,0,3,0,28.5,0,0,16.1
737,0,3,1,48.0,1,3,34.375
738,1,1,0,35.0,0,0,512.3292
742,0,1,0,36.0,1,0,78.85
743,1,1,1,21.0,2,2,262.375
744,0,3,0,24.0,1,0,16.1
745,1,3,0,31.0,0,0,7.925
746,0,1,0,70.0,1,1,71.0
747,0,3,0,16.0,1,1,20.25
748,1,2,1,30.0,0,0,13.0
749,0,1,0,19.0,1,0,53.1
750,0,3,0,31.0,0,0,7.75
751,1,2,1,4.0,1,1,23.0
752,1,3,0,6.0,0,1,12.475
753,0,3,0,33.0,0,0,9.5
754,0,3,0,23.0,0,0,7.8958
755,1,2,1,48.0,1,2,65.0
756,1,2,0,0.67,1,1,14.5
757,0,3,0,28.0,0,0,7.7958
758,0,2,0,18.0,0,0,11.5
759,0,3,0,34.0,0,0,8.05
760,1,1,1,33.0,0,0,86.5
762,0,3,0,41.0,0,0,7.125
763,1,3,0,20.0,0,0,7.2292
764,1,1,1,36.0,1,2,120.0
765,0,3,0,16.0,0,0,7.775
766,1,1,1,51.0,1,0,77.9583
768,0,3,1,30.5,0,0,7.75
770,0,3,0,32.0,0,0,8.3625
771,0,3,0,24.0,0,0,9.5
772,0,3,0,48.0,0,0,7.8542
773,0,2,1,57.0,0,0,10.5
775,1,2,1,54.0,1,3,23.0
776,0,3,0,18.0,0,0,7.75
778,1,3,1,5.0,0,0,12.475
780,1,1,1,43.0,0,1,211.3375
781,1,3,1,13.0,0,0,7.2292
782,1,1,1,17.0,1,0,57.0
783,0,1,0,29.0,0,0,30.0
785,0,3,0,25.0,0,0,7.05
786,0,3,0,25.0,0,0,7.25
787,1,3,1,18.0,0,0,7.4958
788,0,3,0,8.0,4,1,29.125
789,1,3,0,1.0,1,2,20.575
790,0,1,0,46.0,0,0,79.2
792,0,2,0,16.0,0,0,26.0
795,0,3,0,25.0,0,0,7.8958
796,0,2,0,39.0,0,0,13.0
797,1,1,1,49.0,0,0,25.9292
798,1,3,1,31.0,0,0,8.6833
799,0,3,0,30.0,0,0,7.2292
800,0,3,1,30.0,1,1,24.15
801,0,2,0,34.0,0,0,13.0
802,1,2,1,31.0,1,1,26.25
803,1,1,0,11.0,1,2,120.0
804,1,3,0,0.42,0,1,8.5167
805,1,3,0,27.0,0,0,6.975
806,0,3,0,31.0,0,0,7.775
807,0,1,0,39.0,0,0,0.0
808,0,3,1,18.0,0,0,7.775
809,0,2,0,39.0,0,0,13.0
810,1,1,1,33.0,1,0,53.1
811,0,3,0,26.0,0,0,7.8875
812,0,3,0,39.0,0,0,24.15
813,0,2,0,35.0,0,0,10.5
814,0,3,1,6.0,4,2,31.275
815,0,3,0,30.5,0,0,8.05
817,0,3,1,23.0,0,0,7.925
818,0,2,0,31.0,1,1,37.0042
819,0,3,0,43.0,0,0,6.45
820,0,3,0,10.0,3,2,27.9
821,1,1,1,52.0,1,1,93.5
822,1,3,0,27.0,0,0,8.6625
823,0,1,0,38.0,0,0,0.0
824,1,3,1,27.0,0,1,12.475
825,0,3,0,2.0,4,1,39.6875
828,1,2,0,1.0,0,2,37.0042
830,1,1,1,62.0,0,0,80.0
831,1,3,1,15.0,1,0,14.4542
832,1,2,0,0.83,1,1,18.75
834,0,3,0,23.0,0,0,7.8542
835,0,3,0,18.0,0,0,8.3
836,1,1,1,39.0,1,1,83.1583
837,0,3,0,21.0,0,0,8.6625
839,1,3,0,32.0,0,0,56.4958
841,0,3,0,20.0,0,0,7.925
842,0,2,0,16.0,0,0,10.5
843,1,1,1,30.0,0,0,31.0
844,0,3,0,34.5,0,0,6.4375
845,0,3,0,17.0,0,0,8.6625
846,0,3,0,42.0,0,0,7.55
848,0,3,0,35.0,0,0,7.8958
849,0,2,0,28.0,0,1,33.0
851,0,3,0,4.0,4,2,31.275
852,0,3,0,74.0,0,0,7.775
853,0,3,1,9.0,1,1,15.2458
854,1,1,1,16.0,0,1,39.4
855,0,2,1,44.0,1,0,26.0
856,1,3,1,18.0,0,1,9.35
857,1,1,1,45.0,1,1,164.8667
858,1,1,0,51.0,0,0,26.55
